Team,MapName,Result,Margin,R,ACS,K,D,A,ADR,FK,FD,VS
TL,Fracture,Loss,-6,0.752,186.0,12.4,15.6,5.2,112.4,1.2,2.8,TS
TS,Fracture,Win,6,1.27,219.4,15.6,12.4,9.4,133.4,2.8,1.2,TL
NAVI,Ascent,Win,8,1.3800000000000001,226.2,14.6,8.2,9.8,150.6,2.0,1.6,KRÜ
KRÜ,Ascent,Loss,-8,0.6900000000000001,139.0,8.2,14.6,4.8,94.8,1.6,2.0,NAVI
NAVI,Lotus,Win,3,1.162,226.0,18.2,13.2,7.2,152.0,2.4,2.2,KRÜ
KRÜ,Lotus,Loss,-3,0.89,177.8,13.8,17.2,5.1,120.3,2.5,2.1,NAVI
ZETA,Ascent,Loss,-9,0.632,142.2,7.4,14.0,4.0,94.4,0.8,2.6,LEV
LEV,Ascent,Win,9,1.3539999999999999,228.0,14.0,7.4,5.8,143.2,2.6,0.8,ZETA
ZETA,Pearl,Loss,-2,0.908,176.2,14.2,16.6,6.0,118.0,1.6,3.4,LEV
LEV,Pearl,Win,2,1.0859999999999999,196.8,16.6,14.2,6.8,128.2,3.2,1.4,ZETA
VIT,Split,Win,9,1.338,247.0,15.4,9.2,6.4,156.2,2.0,1.4,GE
GE,Split,Loss,-9,0.6639999999999999,164.6,9.2,15.4,4.0,104.4,1.4,2.0,VIT
VIT,Pearl,Loss,-4,0.9460000000000001,197.0,15.2,16.6,8.6,124.4,2.0,2.4,GE
GE,Pearl,Win,4,1.056,206.0,16.6,15.2,6.2,132.4,2.4,2.0,VIT
VIT,Lotus,Win,7,1.17,207.6,14.0,11.4,5.8,137.0,1.6,2.2,GE
GE,Lotus,Loss,-7,0.8119999999999999,171.6,11.4,14.0,3.4,107.8,2.2,1.6,VIT
FUT,Lotus,Win,10,1.2120000000000002,230.0,13.6,9.4,6.0,145.4,1.8,1.4,RRQ
RRQ,Lotus,Loss,-10,0.826,183.6,9.4,13.6,4.8,121.2,1.4,1.8,FUT
FUT,Pearl,Win,2,1.1320000000000001,204.8,17.8,16.3,9.1,139.2,2.9,2.1,RRQ
RRQ,Pearl,Loss,-2,0.9099999999999999,195.0,16.2,16.2,8.6,129.8,2.0,2.8,FUT
100T,Icebox,Win,3,1.02,202.6,16.0,16.8,7.4,139.8,1.8,2.8,EDG
EDG,Icebox,Loss,-3,1.008,215.4,16.8,16.0,4.8,145.6,2.8,1.8,100T
100T,Lotus,Loss,-4,0.967,193.1,14.7,16.2,7.0,128.2,1.8,2.6,EDG
EDG,Lotus,Win,4,1.0379999999999998,207.6,16.2,14.2,5.6,132.2,2.8,1.6,100T
100T,Pearl,Win,2,1.16,223.0,20.4,17.4,8.4,148.2,2.2,3.0,EDG
EDG,Pearl,Loss,-2,0.9173333333333334,193.53333333333333,18.333333333333332,19.8,5.933333333333334,126.13333333333334,2.7333333333333334,2.7333333333333334,100T
SEN,Haven,Loss,-7,0.742,159.4,10.6,15.8,6.2,104.6,1.2,2.6,FNC
FNC,Haven,Win,7,1.239,229.4,15.6,10.9,7.5,147.3,2.3,1.5,SEN
SEN,Split,Loss,-6,0.778,162.0,11.2,14.2,2.6,112.4,1.8,2.2,FNC
FNC,Split,Win,6,1.166,199.2,14.2,11.2,3.0,122.8,2.2,1.8,SEN
T1,Pearl,Loss,-6,0.766,178.2,12.0,16.0,5.8,115.4,1.4,2.6,FUR
FUR,Pearl,Win,6,1.256,223.6,16.0,12.0,7.2,143.0,2.6,1.4,T1
TS,Icebox,Loss,-5,0.748,180.6,12.8,18.4,6.2,115.0,1.2,3.0,NAVI
NAVI,Icebox,Win,5,1.246,248.4,18.4,12.8,7.8,159.8,3.0,1.2,TS
TS,Pearl,Loss,-9,0.58,138.6,7.4,14.8,2.4,91.0,1.0,2.4,NAVI
NAVI,Pearl,Win,9,1.3960000000000001,237.0,14.8,7.4,4.6,159.8,2.4,1.0,TS
LEV,Haven,Win,2,0.9960000000000001,195.6,20.6,21.4,10.2,128.0,3.2,2.8,VIT
VIT,Haven,Loss,-2,1.03,206.0,21.2,20.6,9.6,135.4,2.8,3.2,LEV
LEV,Pearl,Win,10,1.366,252.6,15.2,9.6,7.2,163.4,2.0,1.2,VIT
VIT,Pearl,Loss,-10,0.644,184.4,9.6,15.2,5.2,123.2,1.2,2.0,LEV
FUT,Lotus,Win,4,1.03,209.2,16.2,15.2,5.8,136.8,2.4,2.0,100T
FUT,Haven,Loss,-2,0.954,205.0,17.0,18.0,7.2,133.8,2.0,2.8,100T
100T,Haven,Win,2,1.106,214.8,18.0,17.0,10.8,140.0,2.8,2.0,FUT
FUT,Icebox,Loss,-5,0.858,199.0,13.8,17.2,7.4,123.8,1.6,2.6,100T
100T,Icebox,Win,5,1.212,232.2,17.2,13.8,10.0,152.6,2.6,1.6,FUT
FNC,Haven,Win,2,1.079,202.2,20.2,19.3,9.0,130.8,2.8,3.0,FUR
FUR,Haven,Loss,-2,0.9339999999999999,198.0,23.6,23.4,7.8,124.2,3.2,3.6,FNC
FNC,Ascent,Win,4,1.1219999999999999,217.2,16.4,13.8,8.2,142.93333333333334,1.6666666666666667,2.6666666666666665,FUR
FUR,Ascent,Loss,-4,0.82,175.4,14.0,17.0,6.0,111.6,2.4,2.0,FNC
NAVI,Ascent,Win,3,1.0859999999999999,208.0,16.8,14.2,7.4,127.6,2.2,2.4,LEV
LEV,Ascent,Loss,-3,0.9259999999999999,183.2,14.2,16.8,5.8,123.2,2.4,2.2,NAVI
NAVI,Fracture,Win,11,1.318,219.6,12.2,7.0,5.0,137.6,1.8,1.0,LEV
LEV,Fracture,Loss,-11,0.61,145.8,7.0,12.2,2.2,97.6,1.2,2.0,NAVI
100T,Fracture,Loss,-2,0.458,142.0,6.4,13.6,2.2,92.0,0.8,2.0,FNC
FNC,Fracture,Win,2,1.293,223.5,15.1,10.6,7.0,145.2,2.1,1.7,100T
100T,Icebox,Loss,-3,0.9039999999999999,192.8,15.2,18.2,5.2,131.4,1.6,3.0,FNC
FNC,Icebox,Win,3,1.15,230.2,18.2,15.2,9.8,151.2,3.0,1.6,100T
LOUD,Pearl,Win,8,1.254,221.2,14.4,10.4,5.6,134.4,2.2,1.4,DRX
DRX,Pearl,Loss,-8,0.736,171.2,10.2,14.4,4.6,115.6,1.4,2.2,LOUD
LOUD,Icebox,Win,5,1.144,226.8,17.0,13.2,5.8,147.0,1.6,2.6,DRX
DRX,Icebox,Loss,-5,0.82,189.2,13.2,17.0,4.6,120.8,2.6,1.6,LOUD
LOUD,Split,Loss,-6,0.93,193.2,13.2,15.4,8.0,125.8,2.8,1.2,DRX
DRX,Split,Win,6,1.114,218.2,15.4,13.2,7.4,139.0,1.2,2.8,LOUD
LOUD,Fracture,Loss,-7,0.8640000000000001,184.0,12.2,15.4,5.4,119.8,1.6,2.4,DRX
DRX,Fracture,Win,7,1.144,212.2,15.4,12.2,6.8,136.2,2.4,1.6,LOUD
LOUD,Ascent,Win,5,1.186,201.0,15.0,13.0,7.4,139.8,3.0,1.2,DRX
DRX,Ascent,Loss,-5,0.858,186.2,13.0,15.0,5.4,120.2,1.2,3.0,LOUD
NAVI,Haven,Loss,-2,0.958,178.4,15.0,17.0,8.4,117.6,2.8,2.0,FNC
NAVI,Lotus,Loss,-9,0.712,163.2,9.4,14.4,2.8,113.2,1.8,1.6,FNC
FNC,Lotus,Win,9,1.254,227.6,14.4,9.4,4.6,151.2,1.6,1.8,NAVI
NAVI,Fracture,Loss,-2,0.93,175.8,14.8,16.8,5.4,123.4,2.6,2.2,FNC
LOUD,Ascent,Loss,-4,0.9339999999999999,184.5,13.6,16.1,6.4,122.0,2.8,1.5,FNC
LOUD,Fracture,Loss,-6,0.827,176.5,12.2,16.5,4.9,115.4,1.8,2.2,FNC
FNC,Fracture,Win,6,1.114,227.8,17.2,13.0,4.6,146.8,2.4,1.6,LOUD
LOUD,Split,Win,4,1.068,199.6,16.0,15.0,6.8,132.8,2.2,2.2,FNC
FNC,Split,Loss,-4,0.9259999999999999,197.0,15.0,16.0,5.2,124.2,2.2,2.2,LOUD
LOUD,Lotus,Win,5,1.016,186.2,14.2,13.4,5.0,127.4,2.4,1.8,FNC
FNC,Lotus,Loss,-5,0.944,184.4,13.4,14.2,5.6,121.0,1.8,2.4,LOUD
LOUD,Icebox,Loss,-2,1.05,209.6,19.0,18.8,10.0,136.2,2.6,2.6,FNC
FNC,Icebox,Win,2,0.986,214.6,18.8,19.0,6.6,149.6,2.6,2.6,LOUD
FUT,Split,Loss,-8,0.783,161.1,9.7,13.7,3.5,105.3,1.5,2.1,EG
EG,Split,Win,8,1.166,210.2,14.0,9.6,3.6,137.4,1.6,2.0,FUT
FUT,Lotus,Loss,-2,0.9640000000000001,202.8,18.0,19.4,8.6,132.6,2.8,2.4,EG
EG,Lotus,Win,2,1.094,218.4,19.4,18.0,8.8,146.2,2.4,2.8,FUT
DRX,Fracture,Win,3,1.1300000000000001,214.4,17.6,15.8,10.2,137.6,1.8,2.8,ASE
ASE,Fracture,Loss,-3,0.898,193.0,15.8,17.6,6.0,125.4,2.8,1.8,DRX
DRX,Pearl,Win,6,1.246,232.6,16.4,13.0,10.8,152.6,1.4,2.6,ASE
ASE,Pearl,Loss,-6,0.866,190.0,13.0,16.4,8.6,124.0,2.6,1.4,DRX
EDG,Fracture,Loss,-3,0.9959999999999999,209.4,16.8,17.0,6.4,141.4,2.4,2.2,T1
T1,Fracture,Win,3,0.9960000000000001,209.0,17.0,17.0,6.4,134.2,2.2,2.4,EDG
EDG,Haven,Win,6,1.218,236.6,17.6,11.6,5.0,151.2,2.4,1.6,T1
T1,Haven,Loss,-6,0.7939999999999999,170.7,11.3,16.9,4.4,115.3,1.6,2.4,EDG
T1,Pearl,Win,2,0.994,199.2,17.6,19.2,9.8,131.8,2.4,2.8,EDG
NRG,Ascent,Win,5,1.104,205.4,15.8,12.8,8.2,136.0,1.4,2.8,NAVI
NAVI,Ascent,Loss,-5,0.9400000000000001,180.8,12.8,15.8,6.0,119.4,2.8,1.4,NRG
NAVI,Lotus,Win,2,1.108,196.2,17.8,17.2,6.4,130.2,2.8,2.4,NRG
NRG,Split,Win,7,1.21,203.4,13.8,11.4,6.6,140.0,2.0,1.8,NAVI
NAVI,Split,Loss,-7,0.808,172.8,11.4,13.8,3.2,119.6,1.8,2.0,NRG
DRX,Fracture,Loss,-8,0.8220000000000001,182.8,10.6,14.8,6.0,122.8,1.4,2.2,EG
EG,Fracture,Win,8,1.23,223.6,14.8,10.6,7.6,149.2,2.2,1.4,DRX
DRX,Ascent,Loss,-4,0.9179999999999999,190.4,13.2,16.2,7.6,130.8,1.8,2.6,EG
EG,Ascent,Win,4,1.138,204.8,16.2,13.2,8.2,131.8,2.6,1.8,DRX
T1,Lotus,Win,2,1.072,209.8,17.4,15.0,5.4,146.4,2.8,2.0,NRG
NRG,Bind,Win,6,1.16,225.6,16.4,13.0,9.4,148.0,2.6,1.4,T1
T1,Bind,Loss,-6,0.8800000000000001,192.4,13.0,16.4,6.0,125.2,1.4,2.6,NRG
T1,Pearl,Loss,-2,0.96,185.2,15.7,17.2,6.9,121.1,2.0,3.0,NRG
ASE,Haven,Win,5,1.202,223.8,16.6,13.8,8.8,141.4,3.0,1.2,FUT
FUT,Haven,Loss,-5,0.8160000000000001,190.6,13.8,16.6,5.4,122.2,1.2,3.0,ASE
ASE,Ascent,Loss,-8,0.8099999999999999,176.2,10.2,14.8,5.6,121.0,1.2,2.4,FUT
FUT,Ascent,Win,8,1.232,219.4,14.8,10.2,6.4,143.6,2.4,1.2,ASE
ASE,Lotus,Loss,-7,0.8240000000000001,192.4,12.0,16.4,4.8,133.8,1.2,2.6,FUT
FUT,Lotus,Win,7,1.184,237.6,16.4,12.0,7.4,148.8,2.6,1.2,ASE
NAVI,Pearl,Loss,-2,1.06,207.4,23.0,22.8,10.8,139.0,3.8,2.6,EDG
EDG,Pearl,Win,2,0.942,199.2,22.8,23.0,6.6,133.2,2.6,3.8,NAVI
NAVI,Bind,Loss,-2,0.9613333333333334,197.26666666666668,18.333333333333332,19.2,7.0,132.33333333333334,2.4,2.8,EDG
EDG,Bind,Win,2,1.0,205.86666666666667,17.866666666666667,18.266666666666666,8.0,134.26666666666668,2.6666666666666665,2.2666666666666666,NAVI
DRX,Bind,Loss,-4,0.844,179.4,13.4,17.0,7.2,116.0,1.6,2.8,FUT
FUT,Bind,Win,4,1.1880000000000002,208.8,17.0,13.4,9.0,126.2,2.8,1.6,DRX
DRX,Fracture,Win,5,1.08,210.8,15.2,14.2,6.6,140.2,2.6,1.6,FUT
FUT,Fracture,Loss,-5,0.952,190.6,14.2,15.2,7.6,126.0,1.6,2.6,DRX
DRX,Haven,Win,9,1.3980000000000001,239.8,14.6,8.0,7.2,155.4,2.2,1.2,FUT
FUT,Haven,Loss,-9,0.65,144.4,8.0,14.6,4.2,96.8,1.2,2.2,DRX
T1,Fracture,Loss,-9,0.6599999999999999,150.0,7.8,14.4,3.6,103.2,0.6,2.8,EDG
EDG,Fracture,Win,9,1.364,222.2,14.4,7.8,6.8,136.8,2.8,0.6,T1
T1,Haven,Loss,-7,0.8220000000000001,182.2,12.0,15.0,5.2,115.6,2.0,1.8,EDG
EDG,Haven,Win,7,1.1640000000000001,216.0,15.0,12.0,7.2,143.0,1.8,2.0,T1
EG,Fracture,Win,6,1.2040000000000002,218.6,15.8,12.1,7.9,148.5,2.2,1.8,LOUD
LOUD,Ascent,Loss,-8,0.7220000000000001,185.0,11.0,16.0,4.2,119.4,1.2,2.4,EG
EG,Ascent,Win,8,1.318,234.2,15.4,10.5,8.0,151.1,2.5,1.1,LOUD
TL,Haven,Win,4,1.1400000000000001,209.4,16.6,13.6,6.8,133.8,2.0,2.4,EDG
EDG,Haven,Loss,-4,0.842,172.6,13.6,16.6,4.2,112.8,2.4,2.0,TL
TL,Split,Loss,-5,0.868,175.1,12.8,14.9,5.3,113.7,1.7,2.5,EDG
EDG,Split,Win,5,1.1640000000000001,201.6,15.6,12.8,5.8,129.8,2.4,1.8,TL
TL,Lotus,Win,2,1.024,205.0,17.0,17.0,6.8,133.4,1.6,3.2,EDG
EDG,Lotus,Loss,-2,0.96,200.6,17.0,17.2,6.2,131.8,3.2,1.6,TL
FNC,Fracture,Win,4,1.1400000000000001,206.2,16.6,12.8,6.8,129.6,2.8,1.6,NRG
NRG,Fracture,Loss,-4,0.8460000000000001,171.0,12.8,16.6,3.6,112.8,1.6,2.8,FNC
FNC,Bind,Win,9,1.492,238.4,14.6,7.0,7.8,144.6,2.0,1.4,NRG
NRG,Bind,Loss,-9,0.492,125.0,7.0,14.6,2.0,87.4,1.4,2.0,FNC
PRX,Split,Win,3,1.112,208.2,16.8,15.4,7.6,133.9,2.4,2.2,DRX
DRX,Split,Loss,-3,0.874,190.2,15.2,17.0,5.8,123.0,1.2,3.4,PRX
PRX,Bind,Win,3,1.1019999999999999,200.4,16.6,15.2,7.4,131.4,2.2,2.4,DRX
DRX,Bind,Loss,3,0.916,183.6,15.2,16.6,7.6,118.8,2.4,2.2,PRX
