Team,MapName,Result,Margin,R,ACS,K,D,A,ADR,FK,FD,VS
FUT,Haven,Win,6,1.194,223.4,16.2,11.0,9.0,135.8,2.4,1.6,T1
FPX,Ascent,Loss,-5,0.8380000000000001,170.6,12.2,16.0,4.4,110.2,0.8,3.4,EG
FPX,Pearl,Loss,-5,0.874,204.6,15.0,16.0,5.0,132.2,2.8,1.4,EG
DRX,Bind,Win,2,1.182,227.4,22.2,19.0,9.8,143.2,4.0,1.6,NAVI
NAVI,Split,Win,4,1.256,202.2,16.2,11.2,7.0,136.6,2.4,2.0,DRX
DRX,Split,Loss,-4,0.812,152.0,11.2,16.2,7.4,101.8,2.0,2.4,NAVI
NAVI,Lotus,Loss,-2,0.97,189.2,17.6,18.0,8.0,130.8,2.8,2.2,DRX
DRX,Lotus,Win,2,1.04,193.6,18.0,17.8,8.8,120.6,2.4,3.0,NAVI
BLG,Lotus,Win,2,0.994,202.2,17.6,19.0,5.4,129.4,1.0,4.2,NRG
NRG,Split,Loss,-5,0.8380000000000001,193.6,13.4,17.4,6.0,123.6,1.2,3.0,BLG
BLG,Split,Win,5,1.182,228.6,17.4,13.4,8.4,139.2,3.0,1.2,NRG
FNC,Fracture,Win,8,1.298,223.8,15.0,9.4,6.0,147.4,3.0,0.6,ZETA
ZETA,Fracture,Loss,-8,0.686,157.0,9.4,15.0,2.6,97.2,0.6,3.0,FNC
ZETA,Haven,Loss,-7,0.788,170.8,11.2,15.4,4.2,110.2,1.8,2.0,FNC
EG,Pearl,Win,2,1.034,206.6,20.2,20.0,11.8,144.0,2.8,2.8,FUT
FUT,Pearl,Loss,-2,1.048,209.4,20.0,20.2,9.8,136.2,2.8,2.8,EG
EG,Bind,Win,4,1.074,210.8,16.4,14.8,8.4,137.2,2.8,1.6,FUT
FUT,Bind,Loss,-4,0.9460000000000001,204.4,14.8,16.4,6.6,130.4,1.6,2.8,EG
PRX,Split,Win,6,1.07,204.4,14.2,12.2,5.8,128.4,2.0,2.0,KRÜ
KRÜ,Split,Loss,-6,0.9480000000000001,178.2,12.2,14.2,7.0,113.6,2.0,2.0,PRX
PRX,Pearl,Win,5,1.1720000000000002,204.6,15.2,11.8,7.6,137.2,2.2,2.0,KRÜ
KRÜ,Pearl,Loss,-5,0.85,177.0,11.8,15.2,5.2,122.8,2.0,2.2,PRX
EDG,Split,Loss,-2,0.9490000000000001,202.4,19.9,21.7,7.7,132.3,2.2,3.4,GIA
GIA,Split,Win,2,1.082,224.8,22.0,20.2,10.4,150.6,2.8,2.8,EDG
GIA,Bind,Loss,-2,1.064,211.2,18.0,16.4,6.6,138.4,2.8,2.0,EDG
EDG,Ascent,Win,5,1.09,223.2,17.0,14.4,6.6,143.6,2.2,2.0,GIA
GIA,Ascent,Loss,-5,0.9280000000000002,199.2,14.4,17.0,8.0,127.8,2.0,2.2,EDG
FNC,Haven,Win,11,1.33,244.0,13.8,8.0,6.8,165.8,1.6,1.4,BLG
BLG,Haven,Loss,-11,0.688,163.8,8.0,13.8,3.4,108.6,1.4,1.6,FNC
BLG,Lotus,Loss,-5,0.8459999999999999,174.8,12.8,14.8,4.2,115.6,1.4,2.8,FNC
TL,Haven,Loss,-11,0.636,164.4,7.8,12.6,2.6,111.4,1.4,1.6,LOUD
LOUD,Haven,Win,11,1.3519999999999999,224.8,12.6,7.8,4.8,151.4,1.6,1.4,TL
FPX,Lotus,Loss,-3,0.9219999999999999,178.6,14.6,15.4,4.2,114.2,1.8,2.8,T1
T1,Lotus,Win,3,1.034,184.2,15.4,14.6,4.4,121.6,2.8,1.8,FPX
FPX,Bind,Loss,-6,0.9019999999999999,197.8,13.6,15.4,5.4,134.2,2.2,1.8,T1
T1,Bind,Win,6,1.098,211.8,15.4,13.6,5.8,135.2,1.8,2.2,FPX
PRX,Fracture,Win,6,1.188,212.4,15.8,12.4,8.4,137.4,2.4,1.6,EDG
EDG,Fracture,Loss,-6,0.836,186.2,12.4,15.8,5.4,129.8,1.6,2.4,PRX
GIA,Lotus,Win,3,1.128,205.6,16.2,14.4,10.0,140.2,1.8,2.8,KRÜ
KRÜ,Pearl,Loss,-2,0.942,177.8,16.2,18.4,5.4,122.8,2.0,3.2,GIA
GIA,Pearl,Win,2,1.09,203.0,18.4,16.2,8.4,137.4,3.2,2.0,KRÜ
ZETA,Haven,Loss,-12,0.562,144.4,6.2,11.8,1.8,89.0,0.6,2.2,NRG
NAVI,Pearl,Win,2,0.986,198.6,16.8,16.6,7.6,129.4,2.2,2.6,LOUD
NAVI,Ascent,Loss,-2,0.804,177.8,14.4,19.0,6.6,116.0,1.4,3.4,LOUD
LOUD,Ascent,Win,2,1.142,209.3,17.9,15.2,9.0,134.5,2.9,1.9,NAVI
LOUD,Bind,Win,2,1.03,197.0,16.4,16.0,6.8,125.6,1.8,3.0,NAVI
FUT,Bind,Win,3,1.192,208.4,16.4,15.6,13.2,135.2,2.8,1.8,T1
